english	translation	category	sub_category	source
Rabbit Hop	兔跳 [tu tiao]	manual	emote	
Skill Cape	技能斗篷 [ji neng dou peng]	manual	emote	
Zombie Hand	僵尸手 [jiang shi shou]	manual	emote	
Air Guitar	空气吉他 [kong qi ji ta]	manual	emote	
Sit up	坐起来 [zuo qi lai]	manual	emote	
Push up	俯卧撑 [fu wo cheng]	manual	emote	
Star jump	星跳 [xing tiao]	manual	emote	
Jog	慢跑 [man pao]	manual	emote	
Flex	柔性 [rou xing]	manual	emote	
Hypermobile Drinker	活动过度的饮酒者 [huo dong guo du de yin jiu zhe]	manual	emote	
Uri transform	乌里变换 [wu li bian huan]	manual	emote	
Smooth dance	流畅的舞蹈 [liu chang de wu dao]	manual	emote	
Crazy dance	疯狂的舞蹈 [feng kuang de wu dao]	manual	emote	
Premier Shield	高级盾牌 [gao ji dun pai]	manual	emote	
Explore	探索 [tan suo]	manual	emote	
Relic unlock	遗物解锁 [yi wu jie suo]	manual	emote	
Party	派对 [pai dui]	manual	emote	
Trick	诡计 [gui ji]	manual	emote	
Fortis Salute	富通礼炮 [fu tong li pao]	manual	emote	
Crab dance	螃蟹舞 [pang xie wu]	manual	emote	
Sit down	坐下 [zuo xia]	manual	emote	
Bald	秃 [tu]	manual	hair_beard	
Dreadlocks	辫子 [bian zi]	manual	hair_beard	
Long	长的 [zhang de]	manual	hair_beard	
Medium	中等的 [zhong deng de]	manual	hair_beard	
Tonsure	剃度 [ti du]	manual	hair_beard	
Short	短的 [duan de]	manual	hair_beard	
Cropped	裁剪 [cai jian]	manual	hair_beard	
Wild spikes	狂野的尖刺 [kuang ye de jian ci]	manual	hair_beard	
Spikes	鞋钉 [xie ding]	manual	hair_beard	
Mohawk	莫霍克族 [mo huo ke zu]	manual	hair_beard	
Wind braids	风辫子 [feng bian zi]	manual	hair_beard	
Quiff	髦 [mao]	manual	hair_beard	
Samurai	武士 [wu shi]	manual	hair_beard	
Princely	王子般的 [wang zi ban de]	manual	hair_beard	
Curtains	窗帘 [chuang lian]	manual	hair_beard	
Long curtains	长窗帘 [zhang chuang lian]	manual	hair_beard	
Front split	前开叉 [qian kai cha]	manual	hair_beard	
Tousled	凌乱的 [ling luan de]	manual	hair_beard	
Side wedge	侧楔 [ce xie]	manual	hair_beard	
Front wedge	前楔块 [qian xie kuai]	manual	hair_beard	
Front spikes	前钉 [qian ding]	manual	hair_beard	
Frohawk	弗罗霍克 [fu luo huo ke]	manual	hair_beard	
Rear skirt	后裙 [hou qun]	manual	hair_beard	
Queue	队列 [dui lie]	manual	hair_beard	
Bun	包子 [bao zi]	manual	hair_beard	
Pigtails	辫子 [bian zi]	manual	hair_beard	
Earmuffs	耳套 [er tao]	manual	hair_beard	
Side pony	侧小马 [ce xiao ma]	manual	hair_beard	
Curls	卷发 [juan fa]	manual	hair_beard	
Ponytail	马尾辫 [ma wei bian]	manual	hair_beard	
Braids	辫子 [bian zi]	manual	hair_beard	
Bunches	束 [shu]	manual	hair_beard	
Bob	鲍勃 [bao bo]	manual	hair_beard	
Layered	分层 [fen ceng]	manual	hair_beard	
Straight	直的 [zhi de]	manual	hair_beard	
Straight Braids	直辫子 [zhi bian zi]	manual	hair_beard	
Two-back	二后卫 [er hou wei]	manual	hair_beard	
Mullet	鲻 [zi]	manual	hair_beard	
Undercut	底切 [di qie]	manual	hair_beard	
Low Bun	低发髻 [di fa ji]	manual	hair_beard	
Messy Bun	凌乱的包子 [ling luan de bao zi]	manual	hair_beard	
Pompadour	蓬巴杜 [peng ba du]	manual	hair_beard	
Afro	非洲式 [fei zhou shi]	manual	hair_beard	
Short locs	短地方 [duan di fang]	manual	hair_beard	
Spiky Mohawk	尖刺莫霍克 [jian ci mo huo ke]	manual	hair_beard	
Slicked Mohawk	光滑的莫霍克发型 [guang hua de mo huo ke fa xing]	manual	hair_beard	
Long Quiff	长发 [chang fa]	manual	hair_beard	
Short Choppy	短波涛汹涌 [duan bo tao xiong yong]	manual	hair_beard	
Side Afro	侧面爆炸头 [ce mian bao zha tou]	manual	hair_beard	
Punk	朋克 [peng ke]	manual	hair_beard	
Half-shaved	剃了一半 [ti le yi ban]	manual	hair_beard	
Fremennik	弗雷门尼克 [fu lei men ni ke]	manual	hair_beard	
Elven	精灵 [jing ling]	manual	hair_beard	
Medium Coils	中型线圈 [zhong xing xian quan]	manual	hair_beard	
High ponytail	高马尾辫 [gao ma wei bian]	manual	hair_beard	
Plaits	辫子 [bian zi]	manual	hair_beard	
High Bunches	高束 [gao shu]	manual	hair_beard	
		manual	hair_beard	
Goatee	山羊胡 [shan yang hu]	manual	hair_beard	
Handlebar	车把 [che ba]	manual	hair_beard	
Moustache	胡子 [hu zi]	manual	hair_beard	
Pointy	尖尖的 [jian jian de]	manual	hair_beard	
Split	分裂 [fen lie]	manual	hair_beard	
Mutton	羊肉 [yang rou]	manual	hair_beard	
Full Mutton	全羊肉 [quan yang rou]	manual	hair_beard	
Big Moustache	大胡子 [da hu zi]	manual	hair_beard	
Waxed Moustache	打蜡的小胡子 [da la de xiao hu zi]	manual	hair_beard	
Dali	大理 [da li]	manual	hair_beard	
Vizier	维齐尔 [wei qi er]	manual	hair_beard	
Rimmington	里明顿 [li ming dun]	manual	location	
Taverley	塔弗利 [ta fu li]	manual	location	
Pollnivneach	波尼夫内奇 [bo ni fu nei qi]	manual	location	
Rellekka	雷莱卡 [lei lai ka]	manual	location	
Brimhaven	布里姆港 [bu li mu gang]	manual	location	
Yanille	亚尼尔 [ya ni er]	manual	location	
Hosidius	霍西迪乌斯 [huo xi di wu si]	manual	location	
Prifddinas	普里夫迪纳斯 [pu li fu di na si]	manual	location	
Ardougne	阿尔杜涅 [a er du nie]	manual	location	
Desert	沙漠 [sha mo]	manual	location	
Falador	法拉多 [fa la duo]	manual	location	
Fremennik	弗雷门尼克 [fu lei men ni ke]	manual	location	
Kandarin	坎达林 [kan da lin]	manual	location	
Karamja	卡拉姆贾 [ka la mu jia]	manual	location	
Lumbridge & Draynor	朗布里奇和德雷诺 [lang bu li qi he de lei nuo]	manual	location	
Morytania	莫里塔尼亚 [mo li ta ni ya]	manual	location	
Varrock	瓦罗克 [wa luo ke]	manual	location	
Western Provinces	西部省份 [xi bu sheng fen]	manual	location	
Wilderness	荒野 [huang ye]	manual	location	
Kourend & Kebos	库伦德和科博斯 [ku lun de he ke bo si]	manual	location	
Shayzien	沙伊津 [sha yi jin]	manual	location	
Arceuus	阿尔克乌斯 [a er ke wu si]	manual	location	
Lovakengj	洛瓦肯吉 [luo wa ken ji]	manual	location	
Piscarilius	皮斯卡利乌斯 [pi si ka li wu si]	manual	location	
Al Kharid	阿尔卡里德 [a er ka li de]	manual	location	
Burgh de Rott	德罗特堡 [de luo te bao]	manual	location	
Burthorpe	伯索普 [bo suo pu]	manual	location	
Canifis	卡尼菲斯 [ka ni fei si]	manual	location	
Kharidian Desert	哈里迪沙漠 [ha li di sha mo]	manual	location	
Dorgesh-Kaan	多格什-卡恩 [duo ge shen - ka en]	manual	location	
Draynor Village	德拉诺村 [de la nuo cun]	manual	location	
Entrana	恩特拉纳 [en te la na]	manual	location	
Feldip Hills	费尔迪普山 [fei er di pu shan]	manual	location	
Gnome Stronghold	侏儒要塞 [zhu ru yao sai]	manual	location	
Goblin Village	哥布林村 [ge bu lin cun]	manual	location	
Isafdar	伊萨夫达尔 [yi sa fu da er]	manual	location	
Kebos Lowlands	科博斯低地 [ke bo si di di]	manual	location	
Keldagrim	凯尔达格林 [kai er da ge lin]	manual	location	
Kingstown	金斯敦 [jin si dun]	manual	location	
Lletya	莱蒂亚 [lai di ya]	manual	location	
Lumbridge	朗布里奇 [lang bu li qi]	manual	location	
Lunar Isle	月岛 [yue dao]	manual	location	
Meiyerditch	迈耶迪奇 [mai ye di qi]	manual	location	
Miscellania	杂记 [za ji]	manual	location	
Mort'ton	莫顿 [mo dun]	manual	location	
Mos Le'Harmless	莫斯·勒无害 [mo si · lei wu hai]	manual	location	
Nardah	纳尔达 [na er da]	manual	location	
Port Phasmatys	法斯马蒂斯港 [fa si ma di si gang]	manual	location	
Port Piscarilius	皮斯卡利留斯港 [pi si ka li liu si gang]	manual	location	
Piscatoris	鱼属 [yu shu]	manual	location	
Port Sarim	沙里姆港 [sha li mu gang]	manual	location	
Seers' Village	先知村 [xian zhi cun]	manual	location	
Shilo Village	希洛村 [xi luo cun]	manual	location	
Silvarea	西尔瓦雷亚 [xi er wa lei ya]	manual	location	
Slepe	斯莱佩 [si lai pei]	manual	location	
Sophanem	索法南 [suo fa nan]	manual	location	
Tai Bwo Wannai	泰布万奈 [tai bu wan nai]	manual	location	
Tree Gnome Village	树侏儒村 [shu zhu ru cun]	manual	location	
Troll Stronghold	巨魔要塞 [ju mo yao sai]	manual	location	
Witchaven	巫师天堂 [wu shi tian tang]	manual	location	
Civitas illa Fortis	奇维塔斯伊拉富蒂斯 [qi wei ta si yi la fu di si]	manual	location	
Avium Savannah	萨凡纳阿维姆酒店 [sa fan na a wei mu jiu dian]	manual	location	
Slayer Tower	杀手塔 [sha shou ta]	manual	location	
Catacombs of Kourend	库伦德地下墓穴 [ku lun de di xia mu xue]	manual	location	
Stronghold Slayer Dungeon	要塞杀手地牢 [yao sai sha shou di lao]	manual	location	
Karuulm Slayer Dungeon	卡鲁尔姆杀手地牢 [ka lu er mu sha shou di lao]	manual	location	
Chasm of Fire	火之深渊 [huo zhi shen yuan]	manual	location	
Brimhaven Dungeon	布里姆港地牢 [bu li mu gang di lao]	manual	location	
Taverley Dungeon	塔弗利地牢 [ta fu li di lao]	manual	location	
Witchaven Dungeon	女巫地牢 [nv wu di lao]	manual	location	
Waterfall Dungeon	瀑布地牢 [pu bu di lao]	manual	location	
God Wars Dungeon	神战地下城 [shen zhan di xia cheng]	manual	location	
Kalphite Lair	卡菲特巢穴 [ka fei te chao xue]	manual	location	
task-only Kalphite Cave	仅限任务 Kalphite Cave [jin xian ren wu  Kalphite Cave]	manual	location	
Kraken Cove	克拉肯湾 [ke la ken wan]	manual	location	
Waterbirth Island	水中分娩岛 [shui zhong fen mian dao]	manual	location	
Lizardman Canyon	蜥蜴人峡谷 [xi yi ren xia gu]	manual	location	
Lizardman Settlement	蜥蜴人定居点 [xi yi ren ding ju dian]	manual	location	
Smoke Devil Dungeon	烟雾恶魔地牢 [yan wu e mo di lao]	manual	location	
Death Plateau	死亡高原 [si wang gao yuan]	manual	location	
South of Mount Quidamortem	奎达莫特姆山以南 [kui da mo te mu shan yi nan]	manual	location	
Fremennik Slayer Dungeon	弗雷曼尼克杀手地牢 [fu lei man ni ke sha shou di lao]	manual	location	
Myths' Guild Dungeon	神话公会地下城 [shen hua gong hui di xia cheng]	manual	location	
Mourner Tunnels	哀悼隧道 [ai dao sui dao]	manual	location	
Lithkren Vault	利斯克伦避难所 [li si ke lun bi nan suo]	manual	location	
Ancient Cavern	远古洞穴 [yuan gu dong xue]	manual	location	
Stronghold of Security	安全堡垒 [an quan bao lei]	manual	location	
Fossil Island	化石岛 [hua shi dao]	manual	location	
Asgarnian Ice Dungeon	阿斯加尼亚冰地牢 [a si jia ni ya bing di lao]	manual	location	
Ogre Enclave	食人魔飞地 [shi ren mo fei di]	manual	location	
Brine Rat Cavern	卤水鼠洞 [lu shui shu dong]	manual	location	
Zanaris	扎纳里斯 [zha na li si]	manual	location	
In the Lighthouse	在灯塔里 [zai deng ta li]	manual	location	
Smoke Dungeon	烟雾地牢 [yan wu di lao]	manual	location	
Evil Chicken's Lair	邪恶鸡的巢穴 [xie e ji de chao xue]	manual	location	
The Abyss	深渊 [shen yuan]	manual	location	
Molch	莫尔奇 [mo er qi]	manual	location	
Kebos Swamp	科博斯沼泽 [ke bo si zhao ze]	manual	location	
The Battlefront	前线 [qian xian]	manual	location	
Forthos Dungeon	福索斯地牢 [fu suo si di lao]	manual	location	
Iorwerth Dungeon	约沃斯地牢 [yue wo si di lao]	manual	location	
Jormungand's Prison	耶蒙加德监狱 [ye meng jia de jian yu]	manual	location	
Darkmeyer	达克梅尔 [da ke mei er]	manual	location	
Meiyerditch Laboratories	梅耶迪奇实验室 [mei ye di qi shi yan shi]	manual	location	
Isle of Souls	灵魂之岛 [ling hun zhi dao]	manual	location	
Giants' Den	巨人巢穴 [ju ren chao xue]	manual	location	
Fremennik Isles	弗雷曼尼克群岛 [fu lei man ni ke qun dao]	manual	location	
Poison Waste Dungeon	毒药废物地牢 [du yao fei wu di lao]	manual	location	
Neypotzli	内波茨利 [nei bo ci li]	manual	location	
The Teomat	泰奥马特 [tai ao ma te]	manual	location	
Sunset Coast	日落海岸 [ri luo hai an]	manual	location	
Hunter Guild	猎人公会 [lie ren gong hui]	manual	location	
Cam Torum Entrance	卡姆托鲁姆入口 [ka mu tuo lu mu ru kou]	manual	location	
Colossal Wyrm Remains	巨龙遗迹 [ju long yi ji]	manual	location	
Outer Fortis	外富通 [wai fu tong]	manual	location	
Fortis Colosseum	富蒂斯斗兽场 [fu di si dou shou chang]	manual	location	
Ice Mountain	冰山 [bing shan]	manual	location	
Corsair Cove	海盗湾 [hai dao wan]	manual	location	
Shayzien Graveyard of Heroes	沙伊恩英雄墓地 [sha yi en ying xiong mu di]	manual	location	
Southern coast of Hosidius	霍西迪乌斯南部海岸 [huo xi di wu si nan bu hai an]	manual	location	
Draynor Manor cellar	德雷诺庄园地窖 [de lei nuo zhuang yuan di jiao]	manual	location	
Wizards' Tower	巫师塔 [wu shi ta]	manual	location	
Ardougne Rat Pits	阿杜涅老鼠坑 [a du nie lao shu keng]	manual	location	
The Kendal's cave	肯德尔的洞穴 [ken de er de dong xue]	manual	location	
Ruins of Uzer	乌泽尔废墟 [wu ze er fei xu]	manual	location	
Crabclaw Caves or Waterbirth Island Dungeon	蟹爪洞或水生岛地牢 [xie zhao dong huo shui sheng dao di lao]	manual	location	
Chaos Altar	混沌祭坛 [hun dun ji tan]	manual	location	
Wyvern Cave on Fossil Island	化石岛上的双足飞龙洞穴 [hua shi dao shang de shuang zu fei long dong xue]	manual	location	
Trollweiss Mountain	特罗维斯山 [te luo wei si shan]	manual	location	
Death Altar	死亡祭坛 [si wang ji tan]	manual	location	
Mos Le'Harmless Cave	莫斯勒无害洞穴 [mo si lei wu hai dong xue]	manual	location	
Coronation ceremony during A Kingdom Divided.	分裂王国期间的加冕仪式。 [fen lie wang guo qi jian de jia mian yi shi 。]	manual	location	
Fight with the Giant Roc during My Arm's Big Adventure.	在“我的手臂大冒险”中与巨鹏作战。 [zai “ wo de shou bi da mao xian ” zhong yu ju peng zuo zhan 。]	manual	location	
Scorpia's cave beneath the Scorpion Pit.	蝎子坑下方的蝎子洞。 [xie zi keng xia fang de xie zi dong 。]	manual	location	
Beneath Cursed Sands	诅咒沙下 [zu zhou sha xia]	manual	location	
Perilous Moons	危险的月亮 [wei xian de yue liang]	manual	location	
PvP Arena	玩家对战竞技场 [wan jia dui zhan jing ji chang]	manual	location	
Castle Wars	城堡战争 [cheng bao zhan zheng]	manual	location	
Ferox Enclave	费罗克斯飞地 [fei luo ke si fei di]	manual	location	
Warrior's Guild	战士公会 [zhan shi gong hui]	manual	location	
Champion's Guild 	冠军公会 [guan jun gong hui]	manual	location	
Monestery	修道院 [xiu dao yuan]	manual	location	
Ranging Guild	测距公会 [ce ju gong hui]	manual	location	
Grand Exchange	盛大交换 [sheng da jiao huan]	manual	location	
Falador Park	法拉多公园 [fa la duo gong yuan]	manual	location	
Dondakan's Rock	唐达坎的岩石 [tang da kan de yan shi]	manual	location	
Barbarian Outpost	野蛮人前哨站 [ye man ren qian shao zhan]	manual	location	
Corporeal Beast	实体野兽 [shi ti ye shou]	manual	location	
Tears of Guthix	古斯克斯之泪 [gu si ke si zhi lei]	manual	location	
Wintertodt Camp	温特托特营地 [wen te tuo te ying di]	manual	location	
Fishing Guild	钓鱼公会 [diao yu gong hui]	manual	location	
Mining Guild	矿业公会 [kuang ye gong hui]	manual	location	
Crafting Guild	手工艺公会 [shou gong yi gong hui]	manual	location	
Cooking Guild	烹饪公会 [peng ren gong hui]	manual	location	
Woodcutting Guild	伐木行会 [fa mu hang hui]	manual	location	
Farming Guild	农业公会 [nong ye gong hui]	manual	location	
Edgeville	埃奇维尔 [ai qi wei er]	manual	location	
Vision	想象 [xiang xiang]	manual	music	
at the Wizards' Tower.	在巫师塔。 [zai wu shi ta 。]	manual	music	
Volcanic Vikings	火山维京人 [huo shan wei jing ren]	manual	music	
on Neitiznot.	在内蒂兹诺特上。 [zai nei di zi nuo te shang 。]	manual	music	
Voodoo Cult	巫毒教 [wu du jiao]	manual	music	
during the Legends' Quest.	在传奇任务期间。 [zai chuan qi ren wu qi jian 。]	manual	music	
Voyage	航程 [hang cheng]	manual	music	
at Baxtorian Falls.	在巴克斯托里安瀑布。 [zai ba ke si tuo li an pu bu 。]	manual	music	
Waiting Game, The	等待游戏， [deng dai you xi ，]	manual	music	
The Waiting Game	等待游戏 [deng dai you xi]	manual	music	
in the Soul Wars lobby.	在《灵魂之战》大厅里。 [zai 《 ling hun zhi zhan 》 da ting li 。]	manual	music	
Waking Dream	醒梦 [xing meng]	manual	music	
during the Lunar Diplomacy quest.	在月球外交任务期间。 [zai yue qiu wai jiao ren wu qi jian 。]	manual	music	
Wally the Hero	英雄沃利 [ying xiong wo li]	manual	music	
during the Demon Slayer quest.	在恶魔杀手任务期间。 [zai e mo sha shou ren wu qi jian 。]	manual	music	
Wander	漫步 [man bu]	manual	music	
in Draynor Village.	在德拉诺村。 [zai de la nuo cun 。]	manual	music	
Warpath	战争之路 [zhan zheng zhi lu]	manual	music	
during the Clan Wars minigame.	在部落战争小游戏期间。 [zai bu luo zhan zheng xiao you xi qi jian 。]	manual	music	
Song of the Elves	精灵之歌 [jing ling zhi ge]	manual	music	
during the Song of the Elves quest.	在精灵之歌任务期间。 [zai jing ling zhi ge ren wu qi jian 。]	manual	music	
What Happens Below...	下面发生了什么... [xia mian fa sheng le shen me ...]	manual	music	
in the Warrens.	在沃伦一家。 [zai wo lun yi jia 。]	manual	music	
Warrior	战士 [zhan shi]	manual	music	
during The Fremennik Trials quest.	在弗雷曼尼克审判任务期间。 [zai fu lei man ni ke shen pan ren wu qi jian 。]	manual	music	
Warriors' Guild	勇士公会 [yong shi gong hui]	manual	music	
at the Warriors' Guild.	在勇士公会。 [zai yong shi gong hui 。]	manual	music	
Doors of Dinh, The	丁之门 [ding zhi men]	manual	music	
The Doors of Dinh	丁之门 [ding zhi men]	manual	music	
in the Northern Tundras.	在北部苔原。 [zai bei bu tai yuan 。]	manual	music	
Waterfall	瀑布 [pu bu]	manual	music	
at the Baxtorian Falls.	在巴克斯托里安瀑布。 [zai ba ke si tuo li an pu bu 。]	manual	music	
Waterlogged	浸水 [jin shui]	manual	music	
in Mort Myre Swamp.	在莫特迈尔沼泽。 [zai mo te mai er zhao ze 。]	manual	music	
Way of the Enchanter	附魔师之道 [fu mo shi zhi dao]	manual	music	
in the Lunar Isle mine.	在月岛矿井里。 [zai yue dao kuang jing li 。]	manual	music	
Way of the Wyrm	巨龙之路 [ju long zhi lu]	manual	music	
in the Karuulm Slayer Dungeon.	在卡鲁尔姆杀手地牢中。 [zai ka lu er mu sha shou di lao zhong 。]	manual	music	
Wayward	任性 [ren xing]	manual	music	
in the Jiggig dungeon.	在吉吉格地牢里。 [zai ji ji ge di lao li 。]	manual	music	
We are the Fairies	我们是仙女们 [wo men shi xian nv men]	manual	music	
during the Fairytale II - Cure a Queen quest.	在童话 II - 治愈女王任务期间。 [zai tong hua  II -  zhi yu nv wang ren wu qi jian 。]	manual	music	
Lumbering	伐木 [fa mu]	manual	music	
in Weiss.	在维斯. [zai wei si .]	manual	music	
Well of Voyage	远航之井 [yuan hang zhi jing]	manual	music	
during the Regicide quest.	在弑君任务期间。 [zai shi jun ren wu qi jian 。]	manual	music	
Morytanian Mystery	莫里塔尼亚之谜 [mo li ta ni ya zhi mi]	manual	music	
during the Darkness of Hallowvale quest.	在万圣节谷的黑暗任务中。 [zai wan sheng jie gu de hei an ren wu zhong 。]	manual	music	
Where Eagles Lair	老鹰巢穴的地方 [lao ying chao xue de di fang]	manual	music	
during the Eagles' Peak quest.	在鹰峰任务期间。 [zai ying feng ren wu qi jian 。]	manual	music	
Wild Isle	狂野岛 [kuang ye dao]	manual	music	
in the Wilderness.	在荒野中。 [zai huang ye zhong 。]	manual	music	
Wild Side	狂野的一面 [kuang ye de yi mian]	manual	music	
Wilderness	荒野 [huang ye]	manual	music	
Revenants	亡魂 [wang hun]	manual	music	
in the Revenant Caves.	在亡灵洞穴中。 [zai wang ling dong xue zhong 。]	manual	music	
Wilderness 	荒野 [huang ye]	manual	music	
Wildwood	怀尔德伍德 [huai er de wu de]	manual	music	
Winter Funfair	冬季游乐场 [dong ji you le chang]	manual	music	
during a Christmas event.	在圣诞节活动期间。 [zai sheng dan jie huo dong qi jian 。]	manual	music	
Ice and Fire	冰与火 [bing yu huo]	manual	music	
while fighting the Wintertodt.	在与温特托特战斗时。 [zai yu wen te tuo te zhan dou shi 。]	manual	music	
Witching	巫术 [wu shu]	manual	music	
Woe of the Wyvern	双足飞龙的祸患 [shuang zu fei long de huo huan]	manual	music	
in the Asgarnian Ice Dungeon.	在阿斯加尼亚冰冻地牢中。 [zai a si jia ni ya bing dong di lao zhong 。]	manual	music	
Wonder	想知道 [xiang zhi dao]	manual	music	
Wonderous	太棒了 [tai bang le]	manual	music	
near the Legends' Guild.	传奇公会附近。 [chuan qi gong hui fu jin 。]	manual	music	
Woodland	林地 [lin di]	manual	music	
at the Iorwerth Camp in Tirannwn.	在蒂兰温的约沃斯营地。 [zai di lan wen de yue wo si ying di 。]	manual	music	
Walk in the Woods, A	走在树林里，A [zou zai shu lin li ，A]	manual	music	
A Walk in the Woods	林中漫步 [lin zhong man bu]	manual	music	
in the Kourend Woodland.	在库伦德林地。 [zai ku lun de lin di 。]	manual	music	
Work, Work, Work	工作，工作，工作 [gong zuo ， gong zuo ， gong zuo]	manual	music	
Work\t Work\t Work	工作\t工作\t工作 [gong zuo \t gong zuo \t gong zuo]	manual	music	
during the Tower of Life quest.	在生命之塔任务期间。 [zai sheng ming zhi ta ren wu qi jian 。]	manual	music	
Workshop	车间 [che jian]	manual	music	
in Falador.	在法拉多。 [zai fa la duo 。]	manual	music	
Wrath and Ruin	愤怒与毁灭 [fen nu yu hui mie]	manual	music	
in Tolna's Rift.	在托尔纳的裂缝中。 [zai tuo er na de lie feng zhong 。]	manual	music	
Part Where You Die, The	《你死的地方》部分 [《 ni si de di fang 》 bu fen]	manual	music	
The Part Where You Die	你死的部分 [ni si de bu fen]	manual	music	
during the A Kingdom Divided quest.	在王国分裂任务期间。 [zai wang guo fen lie ren wu qi jian 。]	manual	music	
Predator Xarpus	捕食者爪牙 [bu shi zhe zhao ya]	manual	music	
in the Theatre of Blood.	在血色剧场里。 [zai xue se ju chang li 。]	manual	music	
Last King of the Yarasa	亚拉萨最后的国王 [ya la sa zui hou de guo wang]	manual	music	
Xenophobe	排外者 [pai wai zhe]	manual	music	
in the Waterbirth Island Dungeon.	在水诞生岛地牢中。 [zai shui dan sheng dao di lao zhong 。]	manual	music	
Festive Party, A	节日派对，A [jie ri pai dui ，A]	manual	music	
A Festive Party	节日派对 [jie ri pai dui]	manual	music	
Yesteryear	去年 [qu nian]	manual	music	
in Lumbridge.	在伦布里奇。 [zai lun bu li qi 。]	manual	music	
Spurned Demon, The	被抛弃的恶魔 [bei pao qi de e mo]	manual	music	
The Spurned Demon	被抛弃的恶魔 [bei pao qi de e mo]	manual	music	
while fighting Zalcano.	在与扎尔卡诺战斗时。 [zai yu zha er ka nuo zhan dou shi 。]	manual	music	
Zamorak Zoo	萨莫拉克动物园 [sa mo la ke dong wu yuan]	manual	music	
in the God Wars Dungeon.	在神战地牢里。 [zai shen zhan di lao li 。]	manual	music	
Zanik's Theme	扎尼克的主题 [zha ni ke de zhu ti]	manual	music	
during the Land of the Goblins quest.	在哥布林之地任务期间。 [zai ge bu lin zhi di ren wu qi jian 。]	manual	music	
Zaros Zeitgeist	扎罗斯时代精神 [zha luo si shi dai jing shen]	manual	music	
Zealot	狂热者 [kuang re zhe]	manual	music	
